iso_code,country,year,GDLCODE,level,region,continent,sgdi,shdi,shdif,shdim,healthindex,healthindexf,healthindexm,incindex,incindexf,incindexm,edindex,edindexf,edindexm,esch,eschf,eschm,msch,mschf,mschm,lifexp,lifexpf,lifexpm,gnic,gnicf,gnicm,lgnic,lgnicf,lgnicm,pop
IND,India,1990,INDr101,Subnat,Andhra Pradesh,Asia/Pacific, ,0.427, , ,0.633, , ,0.425, , ,0.29, , ,7.643, , ,2.327, , ,61.161, , ,1661.7, , ,7.416, , , 
IND,India,1990,INDr102,Subnat,Assam,Asia/Pacific, ,0.412, , ,0.558, , ,0.388, , ,0.323, , ,8.254, , ,2.826, , ,56.296, , ,1301.8, , ,7.172, , , 
IND,India,1990,INDr103,Subnat,Bihar,Asia/Pacific, ,0.379, , ,0.568, , ,0.385, , ,0.249, , ,6.102, , ,2.4, , ,56.934, , ,1276.075, , ,7.152, , , 
IND,India,1990,INDr104,Subnat,Goa,Asia/Pacific, ,0.557, , ,0.747, , ,0.518, , ,0.447, , ,11.059, , ,4.205, , ,68.575, , ,3075.011, , ,8.031, , , 
IND,India,1990,INDr105,Subnat,Gujarat,Asia/Pacific, ,0.474, , ,0.619, , ,0.49, , ,0.351, , ,8.929, , ,3.082, , ,60.259, , ,2556.825, , ,7.847, , , 
IND,India,1990,INDr106,Subnat,Haryana,Asia/Pacific, ,0.471, , ,0.613, , ,0.471, , ,0.361, , ,9.545, , ,2.862, , ,59.835, , ,2267.512, , ,7.726, , , 
IND,India,1990,INDr107,Subnat,Himachal Pradesh,Asia/Pacific, ,0.484, , ,0.655, , ,0.445, , ,0.39, , ,10.724, , ,2.767, , ,62.554, , ,1900.888, , ,7.55, , , 
IND,India,1990,INDr108,Subnat,Jammu and Kashmir,Asia/Pacific, ,0.498, , ,0.687, , ,0.465, , ,0.387, , ,10.046, , ,3.244, , ,64.635, , ,2170.951, , ,7.683, , , 
IND,India,1990,INDr109,Subnat,Karnataka,Asia/Pacific, ,0.447, , ,0.622, , ,0.444, , ,0.324, , ,8.256, , ,2.84, , ,60.43, , ,1886.636, , ,7.543, , , 
IND,India,1990,INDr110,Subnat,Kerala,Asia/Pacific, ,0.55, , ,0.748, , ,0.485, , ,0.459, , ,11.245, , ,4.396, , ,68.634, , ,2480.193, , ,7.816, , , 
IND,India,1990,INDr111,Subnat,Madhya Pradesh,Asia/Pacific, ,0.407, , ,0.559, , ,0.428, , ,0.283, , ,7.444, , ,2.275, , ,56.356, , ,1700.755, , ,7.439, , , 
IND,India,1990,INDr112,Subnat,Maharashtra,Asia/Pacific, ,0.498, , ,0.671, , ,0.488, , ,0.377, , ,9.58, , ,3.317, , ,63.613, , ,2535.996, , ,7.838, , , 
IND,India,1990,INDr113,Subnat,Manipur,Asia/Pacific, ,0.499, , ,0.704, , ,0.41, , ,0.431, , ,10.637, , ,4.073, , ,65.734, , ,1507.322, , ,7.318, , , 
IND,India,1990,INDr114,Subnat,Meghalaya,Asia/Pacific, ,0.461, , ,0.694, , ,0.414, , ,0.34, , ,8.897, , ,2.782, , ,65.086, , ,1554.912, , ,7.349, , , 
IND,India,1990,INDr115,Subnat,Mizoram,Asia/Pacific, ,0.531, , ,0.781, , ,0.44, , ,0.436, , ,10.645, , ,4.198, , ,70.762, , ,1842.709, , ,7.519, , , 
IND,India,1990,INDr116,Subnat,Nagaland,Asia/Pacific, ,0.539, , ,0.813, , ,0.47, , ,0.41, , ,10.488, , ,3.552, , ,72.813, , ,2238.028, , ,7.713, , , 
IND,India,1990,INDr117,Subnat,Orissa,Asia/Pacific, ,0.402, , ,0.568, , ,0.38, , ,0.302, , ,8.19, , ,2.224, , ,56.898, , ,1236.21, , ,7.12, , , 
IND,India,1990,INDr118,Subnat,Punjab,Asia/Pacific, ,0.501, , ,0.685, , ,0.511, , ,0.36, , ,9.497, , ,2.892, , ,64.514, , ,2944.063, , ,7.988, , , 
IND,India,1990,INDr119,Subnat,Rajasthan,Asia/Pacific, ,0.406, , ,0.613, , ,0.424, , ,0.257, , ,6.963, , ,1.901, , ,59.842, , ,1656.814, , ,7.413, , , 
IND,India,1990,INDr120,Subnat,Sikkim,Asia/Pacific, ,0.546, , ,0.661, , ,0.52, , ,0.472, , ,13.334, , ,3.06, , ,62.955, , ,3125.966, , ,8.047, , , 
IND,India,1990,INDr121,Subnat,Tamil Nadu,Asia/Pacific, ,0.475, , ,0.635, , ,0.445, , ,0.38, , ,9.749, , ,3.273, , ,61.248, , ,1899.644, , ,7.549, , , 
IND,India,1990,INDr122,Subnat,West Bengal,Asia/Pacific, ,0.443, , ,0.613, , ,0.429, , ,0.33, , ,8.007, , ,3.237, , ,59.87, , ,1711.362, , ,7.445, , , 
IND,India,1990,INDr123,Subnat,Uttar Pradesh,Asia/Pacific, ,0.398, , ,0.536, , ,0.412, , ,0.285, , ,7.279, , ,2.473, , ,54.86, , ,1534.192, , ,7.336, , , 
IND,India,1990,INDr124,Subnat,New Delhi,Asia/Pacific, ,0.58, , ,0.666, , ,0.627, , ,0.468, , ,10.344, , ,5.424, , ,63.31, , ,6337.125, , ,8.754, , , 
IND,India,1990,INDr125,Subnat,Arunachal Pradesh,Asia/Pacific, ,0.442, , ,0.652, , ,0.435, , ,0.304, , ,8.531, , ,2.026, , ,62.358, , ,1782.225, , ,7.486, , , 
IND,India,1990,INDr126,Subnat,Tripura,Asia/Pacific, ,0.449, , ,0.6, , ,0.408, , ,0.37, , ,9.389, , ,3.288, , ,59, , ,1485.291, , ,7.303, , , 
IND,India,1990,INDr127,Subnat,Uttaranchal,Asia/Pacific, ,0.627, , ,0.749, , ,0.518, , ,0.634, , ,18, , ,4.029, , ,68.715, , ,3079.985, , ,8.033, , , 
IND,India,1990,INDr128,Subnat,Jharkhand,Asia/Pacific, ,0.562, , ,0.731, , ,0.432, , ,0.563, , ,16.227, , ,3.369, , ,67.528, , ,1746.399, , ,7.465, , , 
IND,India,1990,INDr129,Subnat,Chhattisgarh,Asia/Pacific, ,0.562, , ,0.704, , ,0.452, , ,0.559, , ,16.131, , ,3.332, , ,65.772, , ,1986.698, , ,7.594, , , 
IND,India,1990,INDr130,Subnat,Telangana,Asia/Pacific, ,0.624, , ,0.764, , ,0.564, , ,0.564, , ,15.396, , ,4.081, , ,69.661, , ,4176.803, , ,8.337, , , 
IND,India,1990,INDr131,Subnat,Chandigarth,Asia/Pacific, ,0.635, , ,0.797, , ,0.562, , ,0.572, , ,15.615, , ,4.154, , ,71.817, , ,4122.509, , ,8.324, , , 
IND,India,1990,INDr132,Subnat,Dadra and Nagar Haveli,Asia/Pacific, ,0.672, , ,0.782, , ,0.555, , ,0.698, , ,18, , ,5.945, , ,70.849, , ,3945.662, , ,8.28, , , 
IND,India,1990,INDr133,Subnat,Puducherry,Asia/Pacific, ,0.711, , ,0.811, , ,0.616, , ,0.72, , ,18, , ,6.613, , ,72.717, , ,5893.009, , ,8.682, , , 
IND,India,1990,INDr134,Subnat,Daman and Diu,Asia/Pacific, ,0.651, , ,0.789, , ,0.602, , ,0.58, , ,14.212, , ,5.563, , ,71.303, , ,5378.843, , ,8.59, , , 
IND,India,1990,INDr135,Subnat,Lakshadweep,Asia/Pacific, ,0.694, , ,0.802, , ,0.635, , ,0.657, , ,16.513, , ,5.945, , ,72.115, , ,6679.754, , ,8.807, , , 
IND,India,1990,INDr136,Subnat,Andaman and Nicobar Islands,Asia/Pacific, ,0.685, , ,0.838, , ,0.611, , ,0.628, , ,15.963, , ,5.548, , ,74.457, , ,5721.978, , ,8.652, , , 
IND,India,1990,INDt,National,Total,Asia/Pacific, ,0.434, , ,0.595, , ,0.436, , ,0.315, , ,7.996, , ,2.782, , ,58.652, , ,1790.407, , ,7.49, , , 
IND,India,1991,INDr101,Subnat,Andhra Pradesh,Asia/Pacific, ,0.43, , ,0.64, , ,0.423, , ,0.294, , ,7.672, , ,2.413, , ,61.581, , ,1641.898, , ,7.404, , , 
IND,India,1991,INDr102,Subnat,Assam,Asia/Pacific, ,0.415, , ,0.564, , ,0.386, , ,0.328, , ,8.285, , ,2.931, , ,56.683, , ,1286.795, , ,7.16, , , 
IND,India,1991,INDr103,Subnat,Bihar,Asia/Pacific, ,0.382, , ,0.574, , ,0.383, , ,0.253, , ,6.125, , ,2.489, , ,57.325, , ,1261.407, , ,7.14, , , 
IND,India,1991,INDr104,Subnat,Goa,Asia/Pacific, ,0.561, , ,0.755, , ,0.516, , ,0.454, , ,11.101, , ,4.362, , ,69.046, , ,3035.346, , ,8.018, , , 
IND,India,1991,INDr105,Subnat,Gujarat,Asia/Pacific, ,0.477, , ,0.626, , ,0.488, , ,0.356, , ,8.963, , ,3.197, , ,60.673, , ,2524.598, , ,7.834, , , 
IND,India,1991,INDr106,Subnat,Haryana,Asia/Pacific, ,0.474, , ,0.619, , ,0.47, , ,0.365, , ,9.582, , ,2.969, , ,60.247, , ,2239.366, , ,7.714, , , 
