state,state_code,pcap_nsdp,gini,health_index,edu_index,life_expec,imr,murder,drug_use,mental_health,birth,death,tfr
Andhra Pradesh,AP,103214,0.333,65.13,67.88,69.7,32,2.1,2.21,793,16.2,7.2,1.7
Arunachal Pradesh,AR,90727,0.386,,24.64,,42,4.4,22.18,597,18.3,6.1,
Assam,AS,57835,0.267,48.85,60.29,66.2,44,4.2,2.91,550,21.2,6.5,2.3
Bihar,BR,26699,0.249,38.46,42.05,68.9,35,3.1,0.19,406,26.4,5.8,3.3
Chhattisgarh,CT,66122,0.341,53.36,46.55,65.2,38,3.6,1.55,444,22.7,7.5,2.5
Goa,GA,321289,0.289,53.13,58.37,69.7,9,1.6,3.33,626,12.5,6.2,
Gujarat,GJ,142068,0.324,63.52,61.95,69.7,30,1.8,1.43,528,19.9,6.2,2.2
Haryana,HR,159892,0.35,53.51,50.53,69.7,30,3.7,8.68,628,20.5,5.8,2.3
Himachal Pradesh,HP,130644,0.354,62.37,55.32,72.6,22,1.5,5.66,588,15.8,6.6,1.7
Jammu and Kashmir,JK,62984,0.293,62.41,41.06,74.1,23,1.1,4.91,475,15.4,4.8,1.7
Jharkhand,JH,52277,0.33,51.33,43.91,68.6,29,4.6,1.09,476,22.7,5.5,2.6
Karnataka,KA,143827,0.433,61.14,69.57,69.2,25,2.5,1.3,617,17.4,6.5,1.8
Kerala,KL,138368,0.444,76.55,76.63,75.2,10,0.9,0.85,641,14.2,6.8,1.8
Madhya Pradesh,MP,54264,0.358,40,45.56,66,47,3,1.22,471,24.8,6.8,2.8
Maharashtra,MH,140724,0.378,63.99,57.43,72.5,19,2.1,1.17,626,15.7,5.7,1.8
Manipur,MN,51211,0.212,60.6,68.76,,12,3.1,14.22,616,14.6,5.3,
Meghalaya,ML,58493,0.244,56.83,39.08,,39,5.4,6.34,577,22.8,6.1,
Mizoram,MZ,106537,0.302,74.97,49.81,,15,3.4,25.67,461,15,4,
Nagaland,NL,68456,0.248,38.51,48.65,,7,2.2,25.22,504,13.5,3.6,
Odisha,OR,72760,0.314,39.43,48.36,68.4,41,3.5,2.85,720,18.3,7.4,2
Punjab,PB,110802,0.324,65.21,41.14,72.4,21,2.4,9.69,487,14.9,7,1.7
Rajasthan,RJ,74441,0.299,43.1,72.86,68.5,38,2.2,1.48,444,24.1,6,2.7
Sikkim,SK,232483,0.246,53.21,42.27,,12,2.6,18.74,558,16.4,4.5,
Tamil Nadu,TN,133029,0.345,63.38,56.37,71.7,16,2.5,0.26,836,14.9,6.7,1.6
Telangana,TG,132293,0.255,59,46.43,,29,3.2,2.01,756,17.2,6.6,1.7
Tripura,TR,76358,0.337,46.38,64.5,,29,3.8,5.01,505,13,5.2,
Uttar Pradesh,UP,42798,0.351,33.59,36.42,65,41,2.2,2.11,443,25.9,6.7,3.1
Uttarakhand,UT,147204,0.36,45.22,53.34,71,32,1.8,2.58,488,17.3,6.7,1.9
West Bengal,WB,64007,,58.25,,71.2,24,2.3,0.84,535,15.2,5.8,1.6
