state,state_code,pcap_nsdp,gini,health_index,edu_index,life_expec,imr,murder,drug_use,mental_health,birth,death,tfr
Andhra Pradesh,AP,110587,0.333,65.13,67.88,70.6,25,1.7,2.21,793,15.9,6.4,1.5
Arunachal Pradesh,AR,113081,0.386,,24.64,,29,4,22.18,597,17.6,5.8,
Assam,AS,61519,0.267,48.85,60.29,67.9,40,3.6,2.91,550,21,6.3,2.2
Bihar,BR,29798,0.249,38.46,42.05,69.5,29,2.6,0.19,406,25.8,5.5,3.1
Chhattisgarh,CT,76749,0.341,53.36,46.55,65.1,40,3.2,1.55,444,22.2,7.3,2.3
Goa,GA,313973,0.289,53.13,58.37,,8,2.1,3.33,626,12.3,5.9,
Gujarat,GJ,164060,0.324,63.52,61.95,70.5,25,1.5,1.43,528,19.5,5.6,2.1
Haryana,HR,170616,0.35,53.51,50.53,69.9,27,3.9,8.68,628,20.1,5.9,2.1
Himachal Pradesh,HP,140944,0.354,62.37,55.32,73.5,19,1,5.66,588,15.4,6.9,1.6
Jammu and Kashmir,JK,68437,0.293,62.41,41.06,74.3,20,0.9,4.91,475,14.9,4.6,1.5
Jharkhand,JH,55658,0.33,51.33,43.91,69.6,27,4.3,1.09,476,22.3,5.3,2.4
Karnataka,KA,156086,0.433,61.14,69.57,69.8,21,2,1.3,617,16.9,6.2,1.7
Kerala,KL,147951,0.444,76.55,76.63,75,6,0.9,0.85,641,13.5,7.1,1.6
Madhya Pradesh,MP,60452,0.358,40,45.56,67.4,46,2.2,1.22,471,24.5,6.6,2.7
Maharashtra,MH,142211,0.378,63.99,57.43,72.9,17,1.7,1.17,626,15.3,5.4,1.6
Manipur,MN,49267,0.212,60.6,68.76,,10,1.8,14.22,616,13.6,4.3,
Meghalaya,ML,61755,0.244,56.83,39.08,,33,2.1,6.34,577,23.2,5.6,
Mizoram,MZ,130741,0.302,74.97,49.81,,3,1.8,25.67,461,14.5,4.0,
Nagaland,NL,73361,0.248,38.51,48.65,,3,1.2,25.22,504,12.7,3.5,
Odisha,OR,76462,0.314,39.43,48.36,70.3,38,3.1,2.85,720,18,7.1,1.8
Punjab,PB,118487,0.324,65.21,41.14,72.5,19,2.3,9.69,487,14.5,6.6,1.5
Rajasthan,RJ,76643,0.299,43.1,72.86,69.4,35,2.1,1.48,444,23.7,5.7,2.5
Sikkim,SK,248691,0.246,53.21,42.27,,5,2.6,18.74,558,16.5,4.2,
Tamil Nadu,TN,144845,0.345,63.38,56.37,73.2,15,2.3,0.26,836,14.2,6.1,1.5
Telangana,TG,153286,0.255,59,46.43,70,23,2.3,2.01,756,16.7,6.1,1.6
Tripura,TR,83985,0.337,46.38,64.5,,21,3.6,5.01,505,12.8,5.5,
Uttar Pradesh,UP,43061,0.351,33.59,36.42,66,41,1.7,2.11,443,25.4,6.5,2.9
Uttarakhand,UT,150820,0.36,45.22,53.34,70.6,27,1.8,2.58,488,17.1,6.0,1.9
West Bengal,WB,69559,,58.25,,72.3,20,2,0.84,535,14.9,5.3,1.5
